,etiqueta,contenido
34,0, Thanks for your subscription to Ringtone UK your mobile will be charged £month Please confirm by replying YES or NO If you reply NO you will not be charged
35,1, Yup Ok i go home look at the timings then i msg ü again Xuhui going to learn on nd may too but her lesson is at am
36,1, Oops Ill let you know when my roommates done
37,1, I see the letter B on my car
38,1, Anything lor U decide
39,1, Hello Hows you and how did saturday go I was just texting to see if youd decided to do anything tomo Not that im trying to invite myself or anything
40,1, Pls go ahead with watts I just wanted to be sure Do have a great weekend Abiola
41,1, Did I forget to tell you  I want you  I need you I crave you  But most of all  I love you my sweet Arabian steed  Mmmmmm  Yummy
42,0,  Rodger Burns  MSG  We tried to call you re your reply to our sms for a free nokia mobile  free camcorder Please call now for delivery tomorrow
43,1, WHO ARE YOU SEEING
44,1, Great I hope you like your man well endowed I am  inches
45,1, No callsmessagesmissed calls
46,1, Didnt you get hep b immunisation in nigeria
47,1, Fair enough anything going on
48,1, Yeah hopefully if tyler cant do it I could maybe ask around a bit
49,1, U dont know how stubborn I am I didnt even want to go to the hospital I kept telling Mark Im not a weak sucker Hospitals are for weak suckers
50,1, What you thinked about me First time you saw me in class
51,1, A gram usually runs like   a half eighth is smarter though and gets you almost a whole second gram for 
52,1, K fyi x has a ride early tomorrow morning but hes crashing at our place tonight
53,1, Wow I never realized that you were so embarassed by your accomodations I thought you liked it since i was doing the best i could and you always seemed so happy about the cave Im sorry I didnt and dont have more to give Im sorry i offered Im sorry your room was so embarassing
54,0, SMS ac Sptv The New Jersey Devils and the Detroit Red Wings play Ice Hockey Correct or Incorrect End Reply END SPTV
55,1, Do you know what Mallika Sherawat did yesterday Find out now  URL
56,0, Congrats year special cinema pass for is yours call now C Suprman V Matrix StarWars etc all FREE bxipwe pm Dont miss out 
57,1, Sorry Ill call later in meeting
58,1, Tell where you reached
59,1, Yesgauti and sehwag out of odi series
60,1, Your gonna have to pick up a  burger for yourself on your way home I cant even move Pain is killing me
61,1, Ha ha ha good joke Girls are situation seekers
62,1, Its a part of checking IQ
63,1, Sorry my roommates took forever it ok if I come by now
64,1, Ok lar i double check wif da hair dresser already he said wun cut v short He said will cut until i look nice
65,0, As a valued customer I am pleased to advise you that following recent review of your Mob No you are awarded with a £ Bonus Prize call 
66,1, Today is song dedicated day Which song will u dedicate for me Send this to all ur valuable frnds but first rply me
67,0, Urgent UR awarded a complimentary trip to EuroDisinc Trav AcoEntry Or £ To claim txt DIS to £moreFrmMob ShrAcomOrSglSuplt LS AJ
68,0, Did you hear about the new Divorce Barbie It comes with all of Kens stuff
69,1, I plane to give on this month end
70,1, Wah lucky man Then can save money Hee
71,1, Finished class where are you
72,1, HI BABE IM AT HOME NOW WANNA DO SOMETHING XX
73,1, Kkwhere are youhow did you performed
74,1, U can call me now
75,1, I am waiting machan Call me once you free
76,1, Thats cool i am a gentleman and will treat you with dignity and respect
77,1, I like you peoples very much but am very shy pa
78,1, Does not operate after  or what
79,1, Its not the same here Still looking for a job How much do Tas earn there
80,1, Sorry Ill call later
81,1, K Did you call me just now ah 
82,1, Ok i am on the way to home hi hi
83,1, You will be in the place of that man
84,1, Yup next stop
85,1, I call you later dont have network If urgnt sms me
86,1, For real when u getting on yo I only need more tickets and one more jacket and Im done I already used all my multis
87,1, Yes I started to send requests to make it but pain came back so Im back in bed Double coins at the factory too I gotta cash in all my nitros
88,1, Im really not up to it still tonight babe
89,1, Ela kanoil download come wen ur free
90,1, Yeah do Don‘t stand to close tho you‘ll catch something
91,1, Sorry to be a pain Is it ok if we meet another night I spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that Sorry 
92,1, Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum Hurts U Smile becoz SOMEONE still Loves to see u Smiling
93,0, Please call our customer service representative on between ampm as you have WON a guaranteed £ cash or £ prize
94,1, Havent planning to buy later I check already lido only got show in e afternoon U finish work already
95,0, Your free ringtone is waiting to be collected Simply text the password MIX to to verify Get Usher and Britney FML PO Box  MK H Ppw 
96,1, Watching telugu moviewat abt u
97,1, i see When we finish we have loads of loans to pay
98,1, Hi Wk been ok  on hols now Yes on for a bit of a run Forgot that i have hairdressers appointment at four so need to get home n shower beforehand Does that cause prob for u
99,1, I see a cup of coffee animation
100,1, Please dont text me anymore I have nothing else to say
101,1, Okay name ur price as long as its legal Wen can I pick them up Y u ave x ams xx
102,1, Im still looking for a car to buy And have not gone the driving test yet
103,1, As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press  to copy your friends Callertune
104,1, wow Youre right I didnt mean to do that I guess once i gave up on boston men and changed my search location to nyc something changed Cuz on my signin page it still says boston
105,1, Umma my life and vava umma love you lot dear
106,1, Thanks a lot for your wishes on my birthday Thanks you for making my birthday truly memorable
107,1, Aight Ill hit you up when I get some cash
108,1, How would my ip address test that considering my computer isnt a minecraft server
109,1, I know Grumpy old people My mom was like you better not be lying Then again I am always the one to play jokes
110,1, Dont worry I guess hes busy
111,1, What is the plural of the noun research
112,1, Going for dinnermsg you after
113,1, Im ok wif it cos i like try new things But i scared u dun like mah Cos u said not too loud
114,0, GENT We are trying to contact you Last weekends draw shows that you won a £ prize GUARANTEED Call  Claim Code K Valid hrs only ppm
115,1, Wa ur openin sentence very formal Anyway im fine too juz tt im eatin too much n puttin on weightHaha So anythin special happened
116,1, As I entered my cabin my PA said  Happy Bday Boss  I felt special She askd me lunch After lunch she invited me to her apartment We went there
117,0, You are a winner U have been specially selected receive £ or a  holiday flights inc speak to a live operator claim pmin  
118,1, Goodo Yes we must speak friday  eggpotato ratio for tortilla needed 
119,1, Hmmmy uncle just informed me that hes paying the school directly So pls buy food
120,0, PRIVATE Your Account Statement for shows unredeemed Bonus Points To claim call Identifier Code Expires
121,0, URGENT Your Mobile No was awarded £ Bonus Caller Prize on  This is our final try to contact U Call from Landline BOXWRC PPM
122,1, here is my new address applespairsall that malarky
123,0, Todays Voda numbers ending are selected to receive a  award If you have a match please call quoting claim code standard rates app
124,1, I am going to sao mu today Will be done only at 
125,1, Ü predict wat time üll finish buying
126,1, Good stuff will do
127,1, Just so that you knowyetunde hasnt sent money yet I just sent her a text not to bother sending So its over you dont have to involve yourself in anything I shouldnt have imposed anything on you in the first place so for that i apologise
128,1, Are you there in room
129,1, HEY GIRL HOW R U HOPE U R WELL ME AN DEL R BAK AGAIN LONG TIME NO C GIVE ME A CALL SUM TIME FROM LUCYxx
130,1, Kkhow much does it cost
131,1, Im home
132,1, Dear will call Tmorrowpls accomodate
133,1, First answer my question
134,0, Sunshine Quiz Wkly Q Win a top Sony DVD player if u know which country the Algarve is in Txt ansr to  £ SPTyrone
135,0, Want get laid tonight Want real Dogging locations sent direct ur mob Join the UKs largest Dogging Network bt Txting GRAVEL to  Nt eca pmsgp
136,1, I only haf msn Its yijuehotmailcom
137,1, He is there You call and meet him
138,1, No no I will check all rooms befor activities
139,0, Youll not rcv any more msgs from the chat svc For FREE Hardcore services text GO to If u get nothing u must Age Verify with yr network  try again
140,1, Got c I lazy to type I forgot ü in lect I saw a pouch but like not v nice
141,1, K text me when youre on the way
142,1, Sir Waiting for your mail
143,1, A swt thought Nver get tired of doing little things lovable persons Cozsomtimes those little things occupy d biggest part in their Hearts Gud ni
144,1, I know you are Can you pls open the back
145,1, Yes see ya not on the dot
146,1, Whats the staff name who is taking class for us
147,0, FreeMsg Why havent you replied to my text Im Randy sexy female and live local Luv to hear from u Netcollex Ltd p per msg reply Stop to end
148,1, Ummmawill call after check inour life will begin from qatar so pls pray very hard
149,1, Ki deleted my contact that why
150,1, Sindu got job in birla soft 
151,1, The wine is flowing and im i have nevering
152,1, Yup i thk cine is better cos no need go down plaza mah
153,1, Ok Ur typical reply
154,1, As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press  to copy your friends Callertune
155,1, You are everywhere dirt on the floor the windows even on my shirt And sometimes when i open my mouth you are all that comes flowing out I dream of my world without you then half my chores are out too A time of joy for me lots of tv shows ill see But i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
156,1, Aaooooright are you at work
157,1, Im leaving my house now
158,1, Hello my love What are you doing Did you get to that interview today Are you you happy Are you being a good boy Do you think of meAre you missing me 
159,0, Customer service annoncement You have a New Years delivery waiting for you Please call now to arrange delivery
160,0, You are a winner U have been specially selected receive £ cash or a  holiday flights inc speak to a live operator claim 
161,1, Keep yourself safe for me because I need you and I miss you already and I envy everyone that sees you in real life
162,1, New car and house for my parentsi have only new job in hand
163,1, Im so in love with you Im excited each day i spend with you You make me so happy
164,0, PLS STOP bootydelious F is inviting you to be her friend Reply YES or NO See her wwwSMSacubootydelious STOP Send STOP FRND to 
165,0, BangBabes Ur order is on the way U SHOULD receive a Service Msg download UR content If U do not GoTo wap bangb tv on UR mobile internetservice menu
166,1, I place all ur points on e cultures module already
167,0, URGENT We are trying to contact you Last weekends draw shows that you have won a £ prize GUARANTEED Call  Claim code S Valid hrs only
168,1, Hi frnd which is best way to avoid missunderstding wit our beloved ones
169,1, Great escape I fancy the bridge but needs her lager See you tomo 
170,1, Yes it completely in out of formclark also utter waste
171,1, Sir I need AXIS BANK account no and bank address
172,1, Hmmm Thk sure got time to hop ard Ya can go free abt Muz call u to discuss liao 
173,1, What time you coming down later 
174,1, Bloody hell cant believe you forgot my surname Mr  Ill give u a clue its spanish and begins with m 
175,1, Well im gonna finish my bath now Have a goodfine night
176,1, Let me know when youve got the money so carlos can make the call
177,1, U still going to the mall
178,1, Turns out my friends are staying for the whole show and wont be back til    so feel free to go ahead and smoke that   worth
179,1, Text her If she doesnt reply let me know so i can have her log in
180,1, Hi You just spoke to MANEESHA V Wed like to know if you were satisfied with the experience Reply Toll Free with Yes or No
181,1, You lifted my hopes with the offer of money I am in need Especially when the end of the month approaches and it hurts my studying Anyways have a gr weekend
182,1, Lol no U can trust me
183,1, ok I am a gentleman and will treat you with dignity and respect
184,1, He will you guys close
185,1, Going on nothing greatbye
186,1, Hello handsome  Are you finding that job  Not being lazy  Working towards getting back that net for mummy  Wheres my boytoy now  Does he miss me 
187,1, Haha awesome be there in a minute
188,0, Please call our customer service representative on FREEPHONE between ampm as you have WON a guaranteed £ cash or £ prize
189,1, Have you got Xmas radio times If not i will get it now
190,1, I jus reached home I go bathe first But my sis using net tell u when she finishes k
191,0, Are you unique enough Find out from th August wwwareyouuniquecouk
192,1, Im sorry Ive joined the league of people that dont keep in touch You mean a great deal to me You have been a friend at all times even at great personal cost Do have a great week
193,1, Hi finally i completed the course
194,1, It will stop on itself I however suggest she stays with someone that will be able to give ors for every stool
195,1, How are you doing Hope youve settled in for the new school year Just wishin you a gr day
196,1, Gud mrng dear hav a nice day
197,1, Did u got that persons story
198,1, is your hamster dead Hey so tmr i meet you at pm orchard mrt 
199,1, Hi its Kate how is your evening I hope i can see you tomorrow for a bit but i have to bloody babyjontet Txt back if u can  xxx
200,1, Found it ENC   where you at
201,1, I sent you  bucks
202,1, Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
203,1, Your account has been refilled successfully by INR DECIMAL  Your KeralaCircle prepaid account balance is Rs DECIMAL  Your Transaction ID is KR  
204,1, Goodmorning sleeping ga
205,1, U call me alter at ok
206,1, Ü say until like dat i dun buy ericsson oso cannot oredi lar
207,1, As I entered my cabin my PA said  Happy Bday Boss  I felt special She askd me lunch After lunch she invited me to her apartment We went there
208,1, Aight yo dats straight dogg
209,1, You please give us connection today itself before DECIMAL or refund the bill
210,1, Both  i shoot big loads so get ready
211,1, Whats up bruv hope you had a great break Do have a rewarding semester
212,1, Home so we can always chat
213,1, Kkgoodstudy well
214,1, Yup How ü noe leh
215,1, Sounds great Are you home now
216,1, Finally the match heading towards draw as your prediction
217,1, Tired I havent slept well the past few nights
218,1, Easy ahsen got selected means its good
219,1, I have to take exam with march 
220,1, Yeah you should I think you can use your gt atm now to register Not sure but if theres anyway i can help let me know But when you do be sure you are ready
221,1, Ok no prob Take ur time
222,1, There is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop
223,1, Sorry Ill call later
224,1, U say leh Of course nothing happen lar Not say v romantic jus a bit only lor I thk e nite scenery not so nice leh
225,0, New Mobiles from  MUST GO Txt NOKIA to No  collect yours todayFrom ONLY £ wwwtcbiz optout gbpmtmsg
226,1, Would really appreciate if you call me Just need someone to talk to
227,0, Will u meet ur dream partner soon Is ur career off a flyng start find out free txt HORO followed by ur star sign e g HORO ARIES
228,1, Hey company elama po mudyadhu
229,1, Life is more strict than teacher Bcoz Teacher teaches lesson amp then conducts exam But Life first conducts Exam amp then teaches Lessons Happy morning  
230,1, Dear good morning now only i am up
231,1, Get down in gandhipuram and walk to cross cut road Right side  street road and turn at first right
232,1, Dear we are going to our rubber place
233,1, Sorry battery died yeah Im here
234,1, Yeshere tv is always available in work place
235,0, Text  meet someone sexy today U can find a date or even flirt its up to U Join just p REPLY with NAME  AGE eg Sam  msg recdthirtyeight pence
236,1, I have printed it oh So  come upstairs
237,1, Or ill be a little closer like at the bus stop on the same street
238,1, Where are youwhen wil you reach here
239,1, New Theory Argument wins d SITUATION but loses the PERSON So dont argue with ur friends just    kick them amp say Im always correct
240,0, U have a secret admirer who is looking make contact with Ufind out who they Rreveal who thinks UR so specialcall on 
241,1, Tomarrow final hearing on my laptop case so i cant
242,1, PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
243,1, Okay No no just shining on That was meant to be signing but that sounds better
244,1, Although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u Thanx everything dat uve done today im touched
245,1, U dont remember that old commercial
246,1, Too late I said i have the website I didnt i have or dont have the slippers
247,1, I asked you to call him now ok
248,1, Kallis wont bat in nd innings
249,1, It didnt work again oh Ok goodnight then Ill fix and have it ready by the time you wake up You are very dearly missed have a good night sleep
250,0, Congratulations ur awarded of CD vouchers or gift guaranteed  Free entry wkly draw txt MUSIC to TnCs wwwLdewcomwinppmxage
251,1, Ranjith cal drpd Deeraj and deepak min hold
252,1, Wen ur lovable bcums angry wid u dnt take it seriously Coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda Have nice day da
253,1, What you doinghow are you
254,1, Ups which is days also and the shipping company that takes wks The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff
255,1, Im back lemme know when youre ready
256,1, Dont necessarily expect it to be done before you get back though because Im just now headin out
257,1, Mmm so yummy babe  Nice jolt to the suzy
258,1, Where are you lover  I need you 
259,0, We tried to contact you re your reply to our offer of a Video Handset anytime networks mins UNLIMITED TEXT Camcorder Reply or call NOW
260,1, I‘m parked next to a MINI When are you coming in today do you think
261,1, Yup
262,1, Anyway im going shopping on my own now Cos my sis not done yet Dun disturb u liao
263,1, MY NO IN LUTON RING ME IF UR AROUND H
264,0, Hey I am really horny want to chat or see me naked text hot to text charged at pm to unsubscribe text stop 
265,1, Why you Dint come with us
266,1, Same Wana plan a trip sometme then
267,1, Not sure yet still trying to get a hold of him
268,0, Ur ringtone service has changed Free credits Go to clubmobilescom to choose content now Stop txt CLUB STOP to  pwk Club PO Box MK WT
269,1, The evo I just had to download flash Jealous
270,0, Ringtone Club Get the UK singles chart on your mobile each week and choose any top quality ringtone This message is free of charge
271,1, Come to mu were sorting out our narcotics situation
272,1, Night has ended for another day morning has come in a special way May you smile like the sunny rays and leaves your worries at the blue blue bay
273,0, HMV BONUS SPECIAL pounds of genuine HMV vouchers to be won Just answer easy questions Play Now Send HMV to More infowwwpercentrealcom
274,1, Usf I guess might as well take car
275,1, No objection My bf not coming
276,1, Thanx
277,1, Tell rob to mack his gf in the theater
278,1, Awesome Ill see you in a bit
279,1, Just sent it So what type of food do you like
280,1, All done All handed in Celebrations in full swing yet
281,1, You got called a tool
282,1, Wen u miss someone the person is definitely special for u But if the person is so special why to miss them just Keepintouch gdeve
283,1, Ok I asked for money how far
284,1, Okie
285,1, Yeah I think my usual guys still passed out from last night if you get ahold of anybody let me know and Ill throw down
286,1, K I might come by tonight then if my class lets out early
287,1, Ok
288,1, hi baby im cruisin with my girl friend what r u up  give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
289,1, My life Means a lot to me Not because I love my life But because I love the people in my life The world calls them friends I call them my World Ge
290,1, Dearshall mail tonitebusy in the streetshall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut a good one in real sense
291,1, Hey you told your name to gaut
292,1, Haf u found him I feel so stupid da v cam was working
293,1, Oops got that bit
294,1, Are you this much buzy
295,1, I accidentally deleted the message Resend please
296,0, TMobile customer you may now claim your FREE CAMERA PHONE upgrade  a pay  go sim card for your loyalty Call on Offer ends thFebTCs apply
297,1, Unless its a situation where YOU GO GURL would be more appropriate
298,1, Hurt me Tease me Make me cry But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U HAVE A NICE DAY BSLVYL
299,1, I cant pick the phone right now Pls send a message
300,1, Need a coffee run tomoCant believe its that time of week already
301,1, Awesome I remember the last time we got somebody high for the first time with diesel V
302,1, Shit that is really shocking and scary cant imagine for a second Def up for night out Do u think there is somewhere i could crash for night save on taxi
303,1, Oh and by the way you do have more food in your fridge Want to go out for a meal tonight 
304,1, He is a womdarfull actor
305,0, SMS ac Blind Date U Rodds is m from Aberdeen United Kingdom Check Him out 
306,1, Yup From what i remb I think should be can book 
307,1, Jos ask if u wana meet up
308,1, Lol yes Our friendship is hanging on a thread cause u wont buy stuff
309,0, TheMob Check out our newest selection of content Games Tones Gossip babes and sport Keep your mobile fit and funky text WAP to 
310,1, Where are the garage keys They arent on the bookshelf
311,1, Today is ACCEPT DAYU Accept me as Brother Sister Lover Dear Best Clos Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
312,0, Think ur smart  Win £ this week in our weekly quiz text PLAY to nowTCs WinnersClub PO BOX  M UZ  GBPweek
313,1, He says hell give me a call when his friends got the money but that hes definitely buying before the end of the week
314,1, Hi the way I was with u day is the normal waythis is the real me UR uniqueI hope I know u the rest of mylife Hope u find wot was lost
315,1, You made my day Do have a great day too
316,1, Kkadvance happy pongal
317,1, Hmmm Guess we can go kb n power yoga Haha dunno we can tahan power yoga anot Thk got lo oso forgot liao
318,1, Not really dude have no friends im afraid 
319,0, December only Had your mobile mths You are entitled to update to the latest colour camera mobile for Free Call The Mobile Update Co FREE on 
320,1, Coffee cake i guess
321,1, Merry Christmas to you too babe i love ya kisses
322,1, Hey Why dont we just go watch x men and have lunch Haha 
323,1, cud u tell ppl im gona b a bit l cos buses hav gon past cos they were full  im still waitin  Pete x
324,1, That would be great Well be at the Guild Could meet on Bristol road or somewhere  will get in touch over weekend Our plans take flight Have a good week
325,1, No problem How are you doing
326,1, No callsmessagesmissed calls
327,1, Hi dahow is the todays class
328,1, Id say thats a good sign but well you know my track record at reading women
329,1, Cool text me when youre parked
330,1, Im reading the text i just sent you Its meant to be a joke So read it in that light
331,1, Kkapo kgood movie
332,1, Maybe i could get book out tomo then return it immediately  Or something
333,0, Call Germany for only pence per minute Call from a fixed line via access number  No prepayment Direct access
334,1, Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork Not cool at all Please do not contact me again or I will report you to your supervisor
335,0, Valentines Day Special Win over £ in our quiz and take your partner on the trip of a lifetime Send GO to now pmsg rcvd CustCare
336,1, TaDaaaaa I am home babe are you still up 
337,1, Cool So how come you havent been wined and dined before
338,1, Just sleepingand surfing
339,1, Sorry Ill call later
340,1, U calling me right Call my hand phone
341,1, Ok thats great thanx a lot
342,1, I take it the post has come then You must have s of texts now Happy reading My one from wiv hello caroline at the end is my favourite Bless him
343,1, Where u been hiding stranger
344,1, Am not interested to do like that
345,1, My sister cleared two round in birla soft yesterday
346,1, Gudnitetcpractice going on
347,1, Dis is yijue I jus saw ur mail In case huiming havent sent u my num Dis is my num
348,1, One small prestige problem now
349,0, Fancy a shag I doInterested sextextukcom txt XXUK SUZY to  Txts cost  per msg TnCs on website X
350,1, Just checking in on you Really do miss seeing Jeremiah Do have a great month
351,1, Nah cant help you there Ive never had an iphone
352,1, If youre not in my car in an hour and a half Im going apeshit
353,1, TODAY is Sorry day If ever i was angry with you if ever i misbehaved or hurt you plz plz JUST SLAP URSELF Bcoz Its ur fault Im basically GOOD
354,1, Yo you guys ever figure out how much we need for alcohol Jay and I are trying to figure out how much we can safely spend on weed
355,1,  ISH MINUTES WAS MINUTES AGO WTF
356,1, Thank You for callingForgot to say Happy Onam to you SirjiI am fine here and remembered you when i met an insurance personMeet You in Qatar Insha AllahRakhesh ex Tata AIG who joined TISSCOTayseer
357,0, Congratulations ur awarded of CD vouchers or gift guaranteed  Free entry wkly draw txt MUSIC to TnCs wwwLdewcomwinppmxage
358,0, Ur cashbalance is currently pounds  to maximize ur cashin now send CASH to only pmsg CC HGSuiteLands RowWJHL
359,1, Im an actor When i work i work in the evening and sleep late Since im unemployed at the moment i ALWAYS sleep late When youre unemployed every day is saturday
360,1, Hello Just got here st andrewsboy its a long way Its cold I will keep you posted
361,1, Ha ha cool cool chikku chikkuDB
362,1, Oh ok no prob
363,1, Check audreys status right now
364,1, Busy here Trying to finish for new year I am looking forward to finally meeting you
365,1, Good afternoon sunshine How dawns that day  Are we refreshed and happy to be alive Do we breathe in the air and smile  I think of you my love  As always
366,1, Well i know Z will take care of me So no worries
367,0, UpdateNow  Xmas Offer Latest Motorola SonyEricsson  Nokia  FREE Bluetooth Double Mins  Txt on Orange Call MobileUpd on or calloptoutFQ
368,0, Here is your discount code RP To stop further messages reply stop wwwregalportfoliocouk Customer Services 
369,1, Wat uniform In where get
370,1, Cool text me when youre ready
371,1, Hello my boytoy  Geeee I miss you already and I just woke up I wish you were here in bed with me cuddling me I love you 
372,1, I will spoil you in bed as well 
373,1, Im going for bath will msg you next  min
374,1, I cant keep talking to people if am not sure i can pay them if they agree to price So pls tell me what you want to really buy and how much you are willing to pay
375,0, Thanks for your Ringtone Order Reference T You will be charged GBP per week You can unsubscribe at anytime by calling customer services on 
376,1, Can you say what happen
377,1, You could have seen mei didt recognise you Face
378,1, Well theres not a lot of things happening in Lindsay on New years sighs Some bars in Ptbo and the blue heron has something going
379,1, Keep my payasam there if rinu brings
380,1, I taught that Ranjith sir called me So only i sms like that Becaus hes verifying about project Prabu told today so only pa dont mistake me
381,1, I guess thats why you re worried You must know that theres a way the body repairs itself And im quite sure you shouldnt worry Well take it slow First the tests they will guide when your ovulation is then just relax Nothing youve said is a reason to worry but ill keep on followin you up
382,1, Yeah sure give me a couple minutes to track down my wallet
383,1, Hey leave it not a big deal take care
384,1, Hey i will be late ah Meet you at 
385,0, Double mins and txts months FREE Bluetooth on Orange Available on Sony Nokia Motorola phones Call MobileUpd on or calloptoutNDX
386,1, It took Mr owl licks
387,1, Customer place i will call you
388,1, Mm that time you dont like fun
389,0, mths half price Orange line rental  latest camera phones FREE Had your phone mths  Call MobilesDirect free on to update now orstoptxt
390,1, Yup having my lunch buffet now U eat already
391,1, Huh so late Fr dinner
392,1, Hey so this sat are we going for the intro pilates only Or the kickboxing too 
393,1, Morning only i can ok
394,1, Yes i think so I am in office but my lap is in room i think thats on for the last few days I didnt shut that down
395,1, Pick you up bout ish What time are and that going
396,1, From here after The performance award is calculated every two monthnot for current one month period
397,1, Was actually sleeping and still might when u call back So a text is gr You rock sis Will send u a text wen i wake
398,1, You are always putting your business out there You put pictures of your ass on facebook You are one of the most open people ive ever met Why would i think a picture of your room would hurt you make you feel violated
399,1, Good evening Sir Al Salam Wahleykkumsharing a happy newsBy the grace of God i got an offer from TayseerTISSCO and i joinedHope you are fineInshah Allahmeet you sometimeRakheshvisitor from India
400,1, Hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator
401,0, FREE RINGTONE text FIRST to for a poly or text GET to for a true tone Help after st free tones are x£pw to e£nd txt stop
402,1, Dear how is chechi Did you talk to her
403,1, The hair cream has not been shipped
404,1, None of thats happening til you get here though
405,1, Yep the great loxahatchee xmas tree burning of  starts in an hour
406,1, Haha get used to driving to usf man I know a lot of stoners
407,1, All was well until slightly disastrous class this pm with my fav darlings Hope day off ok Coffee wld be good as cant stay late tomorrow Same time  place as always
408,1, Hello Good week Fancy a drink or something later
409,1, Headin towards busetop
410,1, Messagesome text missing SenderName Missing Number Missing SentDate missing Missing U a lot thats y everything is missing sent via fullonsmscom
411,1, Come by our room at some point so we can iron out the plan for this weekend
412,1, Cos i want it to be your thing
413,1, Okies Ill go yan jiu too We can skip ard oso go cine den go mrt one blah blah blah 
414,1, Bring home some Wendy D
415,0, dating service call boxskch
416,1, Whatsup there Dont u want to sleep
417,1, Alright i have a new goal now
418,0, FREE entry into our £ weekly competition just text the word WIN to NOW TC wwwtxttowincouk
419,1, Alright Ill head out in a few minutes text me where to meet you
420,0, Send a logo ur lover  names joined by a heart Txt LOVE NAME NAME MOBNO eg LOVE ADAM EVE to Yahoo POBoxWWQ TxtNO no ads p
421,1, Yesfrom last week itself im taking live call
422,0, Someone has contacted our dating service and entered your phone because they fancy you To find out who it is call from a landline  PoBoxntfp
423,1, Siva is in hostel aha
424,0, URGENT Your Mobile number has been awarded with a £ prize GUARANTEED Call from land line Claim  Valid hrs only
